#物品编号,类型,图标编号,名字,颜色,负重,装备类别,最小物防,最大物防,最小魔防,最大魔防,最小物攻,最大物攻,最小魔攻,最大魔攻,最小道攻,最大道攻,幸运,诅咒,命中,闪避,魔法闪避,中毒闪避,HP上限,MP上限,HP上限百分比,MP上限百分比,神圣攻击,暴击几率,暴击力,掉落守护,限制类型,等级限制,出售价格,转生等级限制,品质,职业,性别,装备组,装备对比,帮会捐献值,摧毁提示,装备内功,装备背景,回收金币,回收经验,回收血符,是否可使用,能否销毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,物品描述,获取途径
#type_id,sub_type,icon_id,name,color,weight,equip_type,ac(物防),ac2,mac魔防,mac2,dc（战攻）,dc2,mc（魔攻）,mc2,sc（道攻）,sc2,luck,curse,accuracy,dodge,anti_magic,anti_poison,max_hp,max_mp,max_hp_pres,max_mp_pres,holy_damage,baoji_prob,baoji_pres,drop_luck,need,needlevel,price,need_zslevel,equip_level,job,gender,equip_group,equip_comp,equip_contribute,destory_show,add_power,item_bg,recycle_money,recycle_exp,recycle_xuefu,can_use,can_destroy,can_depot,can_push,bag_show,times_limit,func_id,func_params,desp,source
20190517,8,27000002,积分礼包（小）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,使用后获得：<br />100积分×12,活动
20190518,8,27000002,积分礼包（大）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,使用后获得：<br />100积分×150,活动
20190519,8,27000002,积分礼包（中）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,使用后获得：<br />100积分×70,活动
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100001,1,13115011,测试刀,0,0,1,0,0,0,0,18000000,18500000,18000000,18500000,18000000,18500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,0,0,0,0,0,10,500,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11100002,1,11113921,测试甲（男）,0,0,2,17000000,17200000,17000000,17200000,0,0,0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,0,0,0,1,100,0,0,0,1,1,0,0,0,0,0,10,500,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11100003,1,11113991,测试甲（女）,0,0,2,17000000,17200000,17000000,17200000,0,0,0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,0,0,0,1,100,0,0,0,2,1,0,0,0,0,0,10,500,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101011,1,11101011,斩马刀,0,0,1,0,0,0,0,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,10,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101021,1,11101021,轻型盔甲（男）,0,0,2,11,19,11,19,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,1,1,0,0,0,0,0,10,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101091,1,11101091,轻型盔甲（女）,0,0,2,11,19,11,19,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,2,1,0,0,0,0,0,10,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101031,1,11101031,青铜头盔,0,0,3,5,9,5,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,10,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
